ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match
EBSP1,Elliot Bay,Surfperch Guts,#830,NP,>150,fibre,clear,131.01,no,dropped,,22
EBSP1,Elliot Bay,Surfperch Guts,435,NP,>150,fibre,black,530.71,yes,,Polyester,22
EBSP1,Elliot Bay,Surfperch Guts,#831,NP,>150,fibre,clear,272.4,no,dropped,,22
EBSP1,Elliot Bay,Surfperch Guts,436,NP,>150,fibre,clear,169.69,yes,Could not find for Raman,,22
EBSP1,Elliot Bay,Surfperch Guts,437,NP,>150,fibre,clear,151.23,yes,,Salt,22
EBSP2,Elliot Bay,Surfperch Guts,438,NP,>150,fibre,black,616.3,yes,,Polyester,22
EBSP2,Elliot Bay,Surfperch Guts,#832,NP,>150,fibre,clear,737.04,no,dropped,,22
EBSP3,Elliot Bay,Surfperch Guts,439,NP,>150,fragment,black,127.06,yes,Could not find for Raman,,22
EBSP3,Elliot Bay,Surfperch Guts,440,NP,>150,fibre,clear,2570.88,yes,,Polyester,22
EBSP3,Elliot Bay,Surfperch Guts,441,NP,>150,fibre,brown,521.8,yes,Can't get a good spectra without burning,Unknown,22
EBSP4,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP5,Elliot Bay,Surfperch Guts,442,NP,>150,fibre,black,1069.84,yes,,Polyster,22
EBSP5,Elliot Bay,Surfperch Guts,443,NP,>150,fibre,red,465.61,yes,,Cellulose,22
EBSP6,Elliot Bay,Surfperch Guts,444,NP,>150,fibre,black,819.85,yes,,Dye,22
EBSP7,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP8,Elliot Bay,Surfperch Guts,445,NP,>150,fibre,clear,305.57,yes,,Unknown,22
EBSP9,Elliot Bay,Surfperch Guts,446,NP,>150,fibre,black,316.93,yes,,Polyester,22
EBSP10,Elliot Bay,Surfperch Guts,447,NP,>150,fibre,clear,674.89,yes,,Cellulose,22
EBSP11,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP12,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP13,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP14,Elliot Bay,Surfperch Guts,NA,NA,>150,NA,NA,NA,NA,,,22
EBSP15,Elliot Bay,Surfperch Guts,448,NP,>150,fibre,clear,965.68,yes,,Wool,22
EBSPGB1,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,22
EBSPGB2,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,22
EBSPGB3,,Blanks,NA,NA,>150,NA,NA,NA,NA,,,22
CBSP1,Coles Bay,Surfperch Guts,,BB,1-150,fibre,clear,724.79,NA,dropped,,19
CBSP1,Coles Bay,Surfperch Guts,664,BB,1-150,fibre,blue,1015.71,yes,Probably denim,Unknown,19
CBSP4,Coles Bay,Surfperch Guts,663,BB,1-150,fibre,blue,405.6,yes,Too much fluorescence to get a good sigNAture,Unknown,19
CBSP5,Coles Bay,Surfperch Guts,665,BB,1-150,fibre,red,990.1,yes,,Cellulose,19
CBSP6,Coles Bay,Surfperch Guts,,BB,1-150,fibre,clear,980.3,no,dropped,,19
CBSP7,Coles Bay,Surfperch Guts,666,BB,1-150,fibre,black,1073.43,yes,,Unknown,19
CBSP7,Coles Bay,Surfperch Guts,667,BB,1-150,fibre,blue,519.02,yes,Probably denim,Unknown,19
CBSP8,Coles Bay,Surfperch Guts,668,BB,1-150,fibre,blue,3461.09,yes,,Polyester,19
CBSP8,Coles Bay,Surfperch Guts,669,BB,1-150,fibre,clear,1143.02,yes,*sorry bad placement of fiber- landed right on black line and may be hard to see,Cellulose,19
CBSP8,Coles Bay,Surfperch Guts,670,BB,1-150,fibre,red,317.55,yes,,Polyester,19
CBSP9,Coles Bay,Surfperch Guts,671,BB,1-150,fibre,black,2361.48,yes,,Cellulose,19
CBSP10,Coles Bay,Surfperch Guts,,BB,1-150,fibre,blue,2072.92,no,dropped,,19
CBSP12,Coles Bay,Surfperch Guts,672,BB,1-150,fibre,clear,2251.8,yes,,Polyester,19
CBSP15,Coles Bay,Surfperch Guts,673,BB,1-150,fibre,blue,341.87,yes,Probably denim,Unknown,19
CBSP15,Coles Bay,Surfperch Guts,674,BB,1-150,fibre,blue,669.71,yes,Too much fluorescence to get a good spectra,Unknown,19
CBSP16,Coles Bay,Surfperch Guts,675,BB,1-150,fibre,clear,966.65,yes,,Polyester,19
CBSP16,Coles Bay,Surfperch Guts,676,BB,1-150,fibre,blue,1533.04,yes,Probably denim,Unknown,19
CBSP16,Coles Bay,Surfperch Guts,677,BB,1-150,fibre,clear,614.2,yes,,Cellulose,19
CBSP16,Coles Bay,Surfperch Guts,678,BB,1-150,fibre,blue,337.92,yes,,Dye,19
EBSP2,Elliot Bay,Surfperch Guts,682,BB,1-150,fibre,blue,778.2,yes,Probably denim,Unknown,19
CBSPGPB1,,Blanks,NA,BB,1-150,NA,NA,NA,NA,,,19
CBSPGPB2,,Blanks,679,BB,1-150,fibre,blue,574.54,yes,Probably denim,Unknown,19
EBSP1,Elliot Bay,Surfperch Guts,680,BB,1-150,fibre,white,568.54,yes,,Polyester,21
EBSP1,Elliot Bay,Surfperch Guts,681,BB,1-150,fibre,blue,462.55,yes,Probably denim,Unknown,21
EBSP2,Elliot Bay,Surfperch Guts,683,BB,1-150,fibre,green,635.15,yes,,Cellulose,21
EBSP2,Elliot Bay,Surfperch Guts,684,BB,1-150,fibre,blue,452.51,yes,,Unknown,21
EBSP2,Elliot Bay,Surfperch Guts,685,BB,1-150,fibre,blue,532.01,yes,,Unknown,21
EBSP2,Elliot Bay,Surfperch Guts,686,BB,1-150,fibre,black,742.63,yes,,Cellulose,21
EBSP3,Elliot Bay,Surfperch Guts,687,BB,1-150,fibre,black,250.49,yes,,Polyester,21
EBSP5,Elliot Bay,Surfperch Guts,688,BB,1-150,fibre,red,824.55,yes,,Polyurethane,21
EBSP5,Elliot Bay,Surfperch Guts,689,BB,1-150,fibre,clear,621.83,yes,,"Nylon
",21
EBSP5,Elliot Bay,Surfperch Guts,690,BB,1-150,fibre,red,567.95,yes,,Cellulose,21
EBSP5,Elliot Bay,Surfperch Guts,691,BB,1-150,fibre,clear,1546.62,yes,,Cellulose,21
EBSP7,Elliot Bay,Surfperch Guts,NA,BB,1-150,NA,NA,NA,NA,,,21
EBSP9,Elliot Bay,Surfperch Guts,692,BB,1-150,fibre,red,244.06,yes,Physical structure looks like rayon and spectra is cellulose,Rayon,21
EBSP9,Elliot Bay,Surfperch Guts,693,BB,1-150,fibre,red,527.72,yes,Could not find for Raman,,21
EBSP10,Elliot Bay,Surfperch Guts,NA,BB,1-150,NA,NA,NA,NA,,,21
EBSP11,Elliot Bay,Surfperch Guts,NA,BB,1-150,NA,NA,NA,NA,,,21
EBSP13,Elliot Bay,Surfperch Guts,,BB,1-150,fibre,clear,506.65,no,dropped,,21
EBSP14,Elliot Bay,Surfperch Guts,694,BB,1-150,fibre,blue,827.13,yes,Probably denim,Unknown,21
EBSPGPB1,,Blanks,695,BB,1-150,fibre,black,671.52,yes,,Polyester,21
EBSPGPB3,,Blanks,NA,BB,1-150,NA,NA,NA,NA,,,21
HPSP2,Victoria Harbour,Surfperch Guts,696,BB,1-150,fibre,clear,810.46,yes,,Cellulose,23
HPSP5,Victoria Harbour,Surfperch Guts,NA,BB,1-150,NA,NA,NA,NA,,,23
HPSP6,Victoria Harbour,Surfperch Guts,697,BB,1-150,fibre,blue,790.78,yes,,Polyester,23
HPSP6,Victoria Harbour,Surfperch Guts,698,BB,1-150,fibre,red,591.02,yes,,Cellulose,23
HPSP8,Victoria Harbour,Surfperch Guts,699,BB,1-150,fibre,black,646.66,yes,Cellulose sigNAture and physically looks like rayon,Rayon,23
HPSP8,Victoria Harbour,Surfperch Guts,700,BB,1-150,fibre,blue,1089.33,yes,Probably denim,Unknown,23
HPSP8,Victoria Harbour,Surfperch Guts,701,BB,1-150,fibre,blue,759.02,yes,Probably denim,Unknown,23
HPSP9,Victoria Harbour,Surfperch Guts,702,BB,1-150,fibre,clear,2807.39,yes,,Cellulose,23
HPSP9,Victoria Harbour,Surfperch Guts,703,BB,1-150,fibre,blue,2191.93,yes,"Probably denim
",Unknown,23
HPSP9,Victoria Harbour,Surfperch Guts,704,BB,1-150,fibre,blue,615.65,yes,,Cellulose,23
HPSP10,Victoria Harbour,Surfperch Guts,705,BB,1-150,fibre,clear,2017.44,yes,,Cellulose,23
HPSP10,Victoria Harbour,Surfperch Guts,706,BB,1-150,fibre,black,2190.27,yes,,Acrylic,23
HPSP10,Victoria Harbour,Surfperch Guts,707,BB,1-150,fibre,clear,1328.97,yes,,Polyester,23
HPSP10,Victoria Harbour,Surfperch Guts,708,BB,1-150,fibre,blue,379.75,yes,Probably denim,"Unknown
",23
HPSP11,Victoria Harbour,Surfperch Guts,709,BB,1-150,fibre,black,844.51,yes,Can't get a good spectra without burning,Unknown,23
HPSP11,Victoria Harbour,Surfperch Guts,710,BB,1-150,fibre,clear,1070.54,yes,,Cellulose,23
HPSP13,Victoria Harbour,Surfperch Guts,711,BB,1-150,fibre,blue,592.37,yes,,Polyester,23
HPSP14,Victoria Harbour,Surfperch Guts,712,BB,1-150,fibre,black,676.63,yes,,Polyester,23
HPSP15,Victoria Harbour,Surfperch Guts,NA,BB,1-150,NA,NA,NA,NA,,,23
HPSP16,Victoria Harbour,Surfperch Guts,713,BB,1-150,fibre,red,534.99,yes,,"Cellulose
",23
HPSP16,Victoria Harbour,Surfperch Guts,714,BB,1-150,fibre,black,589.33,yes,,"Cellulose
",23
HPSP16,Victoria Harbour,Surfperch Guts,715,BB,1-150,fibre,blue,545.92,yes,Probably denim,Unknown,23
HPSP16,Victoria Harbour,Surfperch Guts,716,BB,1-150,fibre,black,1946.22,yes,,"Polyester
",23
HPSP17,Victoria Harbour,Surfperch Guts,717,BB,1-150,fibre,blue,917.04,yes,Too much fluorescence to get a good sigNAture,Unknown,23
HPSP17,Victoria Harbour,Surfperch Guts,,BB,1-150,fibre,black,596.86,no,dropped,,23
HPSP17,Victoria Harbour,Surfperch Guts,718,BB,1-150,fibre,black,412.93,yes,,Cellulose,23
HPSPGPB1,,Blanks,NA,BB,1-150,NA,NA,NA,NA,,,23
HPSPGPB2,,Blanks,719,BB,1-150,fibre,blue,1123.93,yes,Probably denim,Unknown,23
HPSPGPB2,,Blanks,720,BB,1-150,fibre,clear,605.24,yes,,Wool,23
CBSP1,Coles Bay,Surfperch Livers,721,BB,>1,fibre,clear,201.6,yes,,Polyester,25
CBSP1,Coles Bay,Surfperch Livers,722,BB,>1,fibre,black,257.45,yes,,Cellulose,25
CBSP4,Coles Bay,Surfperch Livers,723,BB,>1,fibre,clear,848.02,yes,,Polyester,25
CBSP4,Coles Bay,Surfperch Livers,724,BB,>1,fibre,clear,1126.83,yes,,Rayon,25
CBSP4,Coles Bay,Surfperch Livers,725,BB,>1,fibre,red,1154.48,yes,,Polyester,25
CBSP5,Coles Bay,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,25
CBSP6,Coles Bay,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,25
CBSP7,Coles Bay,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,25
CBSP8,Coles Bay,Surfperch Livers,726,BB,>1,fibre,clear,493.21,yes,,Polyester,25
CBSP8,Coles Bay,Surfperch Livers,727,BB,>1,fibre,red,504.41,yes,,Cellulose,25
CBSP8,Coles Bay,Surfperch Livers,728,BB,>1,fibre,blue,559.15,yes,,Polyester,25
CBSP9,Coles Bay,Surfperch Livers,729,BB,>1,fibre,clear,1175.19,yes,"Too much fluorescenced to get a good spectra
",Unknown,25
CBSP10,Coles Bay,Surfperch Livers,730,BB,>1,fibre,blue,416.7,yes,,Polyester,25
CBSP10,Coles Bay,Surfperch Livers,731,BB,>1,fibre,blue,531.1,yes,Probably denim,Unknown,25
CBSP10,Coles Bay,Surfperch Livers,,BB,>1,fibre,clear,816,no,dropped,,25
CBSP10,Coles Bay,Surfperch Livers,,BB,>1,fibre,clear,941.73,no,dropped,,25
CBSP12,Coles Bay,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,25
CBSP15,Coles Bay,Surfperch Livers,732,BB,>1,fibre,clear,1099.9,yes,,Cellulose,25
CBSP16,Coles Bay,Surfperch Livers,733,BB,>1,fibre,clear,910.27,yes,,Cellulose,25
CBSPLPB1,,Blanks,734,BB,>1,fibre,clear,944.77,yes,,Polyester,25
CBSPLPB3,,Blanks,735,BB,>1,fibre,clear,1311.28,yes,,Cellulose,25
EBSP1,Elliot Bay,Surfperch Livers,,BB,>1,fibre,red,534.44,no,dropped,,26
EBSP1,Elliot Bay,Surfperch Livers,736,BB,>1,fibre,yellow,1878.71,yes,,Cellulose,26
EBSP1,Elliot Bay,Surfperch Livers,737,BB,>1,fibre,black,374.19,yes,,Cellulose,26
EBSP1,Elliot Bay,Surfperch Livers,,BB,>1,fibre,clear,1123.45,no,dropped,,26
EBSP2,Elliot Bay,Surfperch Livers,738,BB,>1,fibre,blue,1214.98,yes,,Unknown,26
EBSP3,Elliot Bay,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,26
EBSP5,Elliot Bay,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,26
EBSP8,Elliot Bay,Surfperch Livers,739,BB,>1,fibre,red,2610.6,yes,,Cellulose,26
EBSP9,Elliot Bay,Surfperch Livers,740,BB,>1,fibre,red,908.74,,,Cellulose,26
EBSP10,Elliot Bay,Surfperch Livers,741,BB,>1,fibre,blue,851.44,,Too much fluorescence to get a good spectra,Unknown,26
EBSP11,Elliot Bay,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,26
EBSP13,Elliot Bay,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,26
EBSP14,Elliot Bay,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,26
EBSPB1,,Blanks,NA,BB,>1,NA,NA,NA,NA,,,26
EBSPB3,,Blanks,NA,BB,>1,NA,NA,NA,NA,,,26
HPSP2,Victoria Harbour,Surfperch Livers,NA,BB,>1,NA,NA,NA,NA,,,26
