ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match
EBPJ5,Elliot Bay,Plankton Jars,965,BB,>1,fiber,blue,1184.04,yes,,Cellulose,1
EBPJ5,Elliot Bay,Plankton Jars,966,BB,>1,fiber,red,4530.02,yes,,Cellulose,1
EBPJ5,Elliot Bay,Plankton Jars,967,BB,>1,fiber,red,559.9,no,dropped,,1
EBPJ5,Elliot Bay,Plankton Jars,967,BB,>1,fiber,blue,759.98,yes,Could be denim,Unknown,1
EBPJ5,Elliot Bay,Plankton Jars,968,BB,>1,fiber,black,1207.79,yes,,Polyester,1
EBPJ5,Elliot Bay,Plankton Jars,969,BB,>1,fiber,blue,1279.76,yes,,Cellulose,1
Aug28PB1,,Blanks,na,BB,>1,na,na,na,na,,,1
HPPJ4,Victoria Harbour,Plankton Jars,970,BB,>1,fiber,red,1310.29,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,971,BB,>1,fiber,purple,431.07,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,972,BB,>1,fiber,green,1379.56,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,973,BB,>1,fiber,black,667.66,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,974,BB,>1,fiber,black,882.21,yes,Could be denim,Unknown,2
HPPJ4,Victoria Harbour,Plankton Jars,975,BB,>1,fiber,blue,15331.1,yes,"Cellulose spectra, physically looks like rayon",Rayon,2
HPPJ4,Victoria Harbour,Plankton Jars,976,BB,>1,fiber,blue,3965.22,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,,BB,>1,fiber,black,527.83,no,dropped,,2
HPPJ4,Victoria Harbour,Plankton Jars,977,BB,>1,fiber,blue,1826.83,yes,"Cellulose spectra, physically looks like rayon",Rayon,2
HPPJ4,Victoria Harbour,Plankton Jars,978,BB,>1,fiber,black,1799.1,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,979,BB,>1,fiber,blue,379.79,yes,Could be denim,Unknown,2
HPPJ4,Victoria Harbour,Plankton Jars,980,BB,>1,fiber,blue,360.05,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,981,BB,>1,fiber,red,1285.49,yes,,Cellulose,2
HPPJ4,Victoria Harbour,Plankton Jars,982,BB,>1,fragment,red,112.67,yes,,Dye,2
