ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match,user.id
EBCU10,Elliot Bay,Sea Cucumbers,240,NP,>150,fibre,blue,2252.22,yes,,Cellulose,12,N
EBCU10,Elliot Bay,Sea Cucumbers,#525,NP,>150,fibre,blue,1970.72,no,"dropped, bounced",,12,N
EBCU10,Elliot Bay,Sea Cucumbers,241,NP,>150,fibre,blue,609.23,yes,,Cellulose,12,N
EBCU11,Elliot Bay,Sea Cucumbers,242,NP,>150,fibre,blue,391.09,yes,,Cellulose,12,N
EBCU12,Elliot Bay,Sea Cucumbers,NA,NA,NA,NA,NA,NA,NA,,,12,NA
EBCU13,Elliot Bay,Sea Cucumbers,260,NP,>150,fibre,blue,644.91,yes,,Cellulose,12,N
EBCU13,Elliot Bay,Sea Cucumbers,264,NP,>150,fibre,black,2118.83,yes,,Cellulose,12,N
EBCU14,Elliot Bay,Sea Cucumbers,265,NP,>150,fibre,brown,942.97,yes,"Cellulose sigNAture, but physically looks like rayon",Rayon,12,N
EBCU15,Elliot Bay,Sea Cucumbers,270,NP,>150,fibre,clear,1112.82,yes,,Cellulose,12,N
EBCU16,Elliot Bay,Sea Cucumbers,274,NP,>150,fibre,blue,965.8,yes,,Polyester,12,S
EBCU16,Elliot Bay,Sea Cucumbers,276,NP,>150,fibre,clear,550.27,yes,,Cellulose,12,N
EBCU2,Elliot Bay,Sea Cucumbers,219,NP,>150,fibre,black,1109.75,yes,Can't get a good spectra without burning,Unknown,12,S
EBCU2,Elliot Bay,Sea Cucumbers,#417,NP,>150,fibre,red,228.01,yes,,,12,N
EBCU3,Elliot Bay,Sea Cucumbers,220,NP,>150,fibre,red,818.8,yes,,Cellulose,12,N
EBCU3,Elliot Bay,Sea Cucumbers,221,NP,>150,fibre,red,1021.89,yes,,Cellulose,12,N
EBCU3,Elliot Bay,Sea Cucumbers,222,NP,>150,fibre,clear,1225.78,yes,,Polyester,12,S
EBCU3,Elliot Bay,Sea Cucumbers,223,NP,>150,fibre,black,361.14,yes,,Cellulose,12,N
EBCU3,Elliot Bay,Sea Cucumbers,224,NP,>150,fibre,clear,146.51,yes,,Cellulose,12,N
EBCU3,Elliot Bay,Sea Cucumbers,225,NP,>150,fibre,red,912.26,yes,,Cellulose,12,N
