ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match,user.id
CBFF9,Coles Bay,Flatfish Livers,784,BB,>1,fibre,blue,342.39,yes,,Cellulose,31,N
CBFF9,Coles Bay,Flatfish Livers,785,BB,>1,fibre,blue,308.5,yes,,Cellulose,31,N
CBFF10,Coles Bay,Flatfish Livers,NA,BB,>1,NA,NA,NA,NA,NA,,31,NA
CBFF11,Coles Bay,Flatfish Livers,786,BB,>1,fibre,black,538.72,yes,,Cellulose,31,S
CBFF11,Coles Bay,Flatfish Livers,787,BB,>1,fibre,black,397.17,yes,,Polyester,31,S
CBFF11,Coles Bay,Flatfish Livers,788,BB,>1,fibre,blue,610.75,yes,Possibly acrylic,Cellulose,31,S
CBFF12,Coles Bay,Flatfish Livers,NA,BB,>1,NA,NA,NA,NA,NA,,31,NA
CBFF14,Coles Bay,Flatfish Livers,NA,BB,>1,NA,NA,NA,NA,NA,,31,NA
CBFFPB1,,Blanks,789,BB,>1,fibre,clear,1438.46,yes,,Wool,31,N
CBFFPB1,,Blanks,790,BB,>1,fibre,blue,541.1,yes,,Cellulose,31,S
CBFFPB3,,Blanks,791,BB,>1,fibre,clear,1023.59,yes,,Polyester,31,S
CBFF4,Coles Bay,Flatfish Guts,1066,BB,1-150,fiber,black,1578.56,yes,,,31,S
CBFF5,Coles Bay,Flatfish Guts,1067,BB,1-150,fiber,black,386.7,yes,,,31,S
CBFF5,Coles Bay,Flatfish Guts,1068,BB,1-150,fiber,blue,1985.53,yes,,,31,N
CBFF8,Coles Bay,Flatfish Guts,,BB,1-150,fiber,pink,1182.71,no,dropped,,31,S
CBFF13,Coles Bay,Flatfish Guts,NA,BB,1-150,NA,NA,NA,NA,,,31,NA
CBFF15,Coles Bay,Flatfish Guts,NA,BB,1-150,NA,NA,NA,NA,,,31,NA
