ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match,user.id
CBRF6,Coles Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,34,NA
CBRF7,Coles Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,34,NA
CBRF7,Coles Bay,Rockfish: Ingested Animals,NA,BB,150-1000,NA,NA,NA,NA,,,34,NA
CBRF8,Coles Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,34,NA
CBRF10,Coles Bay,Rockfish Guts,NA,BB,150-1000,NA,NA,NA,NA,,,34,NA
CBRF10,Coles Bay,Rockfish: Ingested Animals,NA,BB,150-1000,NA,NA,NA,NA,,,34,NA
CBRFPB1,Coles Bay,Blanks,NA,BB,150-1000,NA,NA,NA,NA,,,34,NA
CBRFPB2,Coles Bay,Blanks,NA,BB,150-1000,NA,NA,NA,NA,,,34,NA
CBRFPB3,Coles Bay,Blanks,NA,BB,150-1000,NA,NA,NA,NA,,,34,NA
CBRF1,Coles Bay,Rockfish Guts,NA,BB,>1000,NA,NA,NA,NA,,,34,NA
CBRF1,Coles Bay,Rockfish: Ingested Animals,NA,BB,>1000,NA,NA,NA,NA,,,34,NA
CBRF3,Coles Bay,Rockfish: Ingested Animals,NA,BB,>1000,NA,NA,NA,NA,,,34,NA
CBRF4,Coles Bay,Rockfish: Ingested Animals,NA,BB,>1000,NA,NA,NA,NA,,,34,NA
CBRF7,Coles Bay,Rockfish Guts,NA,BB,>1000,NA,NA,NA,NA,,,34,NA
CBRF7,Coles Bay,Rockfish: Ingested Animals,NA,BB,>1000,NA,NA,NA,NA,,,34,NA
CBRF9,Coles Bay,Rockfish Guts,NA,BB,>1000,NA,NA,NA,NA,,,34,NA
CBRF10,Coles Bay,Rockfish Guts,NA,BB,>1000,NA,NA,NA,NA,,,34,NA
CBRF10,Coles Bay,Rockfish: Ingested Animals,NA,BB,>1000,NA,NA,NA,NA,,,34,NA
EBRF1,Elliot Bay,Rockfish Guts,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF1,Elliot Bay,Rockfish: Ingested Animals,,BB,1-150,fiber,black,452.8,no,dropped,,32,N
EBRF2,Elliot Bay,Rockfish Guts,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF3,Elliot Bay,Rockfish Guts,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF5,Elliot Bay,Rockfish Guts,868,BB,1-150,fiber,black,3145.17,yes,,Unknown,32,N
EBRF6,Elliot Bay,Rockfish Guts,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF7,Elliot Bay,Rockfish Guts,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF7,Elliot Bay,Rockfish: Ingested Animals,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF8,Elliot Bay,Rockfish: Ingested Animals,,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF9,Elliot Bay,Rockfish Guts,NA,BB,1-150,NA,NA,NA,NA,"labelled ""messed up""",,32,NA
EBRF10,Elliot Bay,Rockfish Guts,871,BB,1-150,fiber,black,683.32,yes,,Cellulose,32,N
EBRF11,Elliot Bay,Rockfish Guts,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
EBRF12,Elliot Bay,Rockfish Guts,874,BB,1-150,fiber,blue,2206.73,yes,,Cellulose,32,N
EBRF13,Elliot Bay,Rockfish: Ingested Animals,NA,BB,1-150,NA,NA,NA,NA,,,32,NA
